[2026-02-13 09:42:41] [stress] Not Running
[2026-02-13 09:42:42] [stress] Not Running
[2026-02-13 09:42:43] [stress] Not Running
[2026-02-13 09:42:44] [stress] Not Running
[2026-02-13 09:42:45] [stress] Not Running
[2026-02-13 09:42:46] [stress] Not Running
[2026-02-13 09:42:47] [stress] Not Running
[2026-02-13 09:42:48] [stress] Not Running
[2026-02-13 09:42:49] [stress] Not Running
[2026-02-13 09:42:50] [stress] Not Running
[2026-02-13 09:42:51] [stress] Not Running
[2026-02-13 09:42:52] [stress] Not Running
[2026-02-13 09:42:53] [stress] Not Running
[2026-02-13 09:42:54] [stress] Not Running
[2026-02-13 09:42:55] [stress] Not Running
[2026-02-13 09:42:56] [stress] Not Running
[2026-02-13 09:42:57] [stress] Not Running
[2026-02-13 09:42:58] [stress] Not Running
[2026-02-13 09:42:59] [stress] Not Running
[2026-02-13 09:43:00] [stress] Not Running
[2026-02-13 09:43:01] [stress] Not Running
[2026-02-13 09:43:02] [stress] Not Running
[2026-02-13 09:43:03] [stress] Not Running
[2026-02-13 09:58:09] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7084 MB, GPU: 0%
[2026-02-13 09:58:09] [PID:394077] CPU: 99.96%, PROC_RAM: 8 MB, SYS_RAM: 7084 MB, GPU: 0%
[2026-02-13 09:58:10] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7084 MB, GPU: 0%
[2026-02-13 09:58:10] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7084 MB, GPU: 0%
[2026-02-13 09:58:11] [PID:394077] CPU: 98.97%, PROC_RAM: 8 MB, SYS_RAM: 7084 MB, GPU: 0%
[2026-02-13 09:58:11] [PID:394077] CPU: 98.97%, PROC_RAM: 8 MB, SYS_RAM: 7084 MB, GPU: 0%
[2026-02-13 09:58:12] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7084 MB, GPU: 0%
[2026-02-13 09:58:12] [PID:394077] CPU: 98.97%, PROC_RAM: 8 MB, SYS_RAM: 7084 MB, GPU: 0%
[2026-02-13 09:58:13] [PID:394077] CPU: 98.97%, PROC_RAM: 8 MB, SYS_RAM: 7084 MB, GPU: 0%
[2026-02-13 09:58:13] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7084 MB, GPU: 0%
[2026-02-13 09:58:14] [PID:394077] CPU: 98.97%, PROC_RAM: 8 MB, SYS_RAM: 7084 MB, GPU: 0%
[2026-02-13 09:58:15] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7084 MB, GPU: 0%
[2026-02-13 09:58:16] [PID:394077] CPU: 98.97%, PROC_RAM: 8 MB, SYS_RAM: 7083 MB, GPU: 0%
[2026-02-13 09:58:17] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7083 MB, GPU: 0%
[2026-02-13 09:58:18] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7083 MB, GPU: 0%
[2026-02-13 09:58:19] [PID:394077] CPU: 98.97%, PROC_RAM: 8 MB, SYS_RAM: 7083 MB, GPU: 0%
[2026-02-13 09:58:20] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7084 MB, GPU: 0%
[2026-02-13 09:58:21] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7083 MB, GPU: 0%
[2026-02-13 09:58:22] [PID:394077] CPU: 98.97%, PROC_RAM: 8 MB, SYS_RAM: 7083 MB, GPU: 0%
[2026-02-13 09:58:23] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7083 MB, GPU: 0%
[2026-02-13 09:58:24] [PID:394077] CPU: 98.97%, PROC_RAM: 8 MB, SYS_RAM: 7083 MB, GPU: 0%
[2026-02-13 09:58:25] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7083 MB, GPU: 0%
[2026-02-13 09:58:26] [PID:394077] CPU: 98.97%, PROC_RAM: 8 MB, SYS_RAM: 7083 MB, GPU: 0%
[2026-02-13 09:58:27] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7083 MB, GPU: 0%
[2026-02-13 09:58:28] [PID:394077] CPU: 98.97%, PROC_RAM: 8 MB, SYS_RAM: 7083 MB, GPU: 0%
[2026-02-13 09:58:29] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7083 MB, GPU: 0%
[2026-02-13 09:58:30] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7083 MB, GPU: 0%
[2026-02-13 09:58:31] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7083 MB, GPU: 0%
